distance (m)
10001 928 534
10002 634 486
10003 622 250
10004 545 297
10005 12 681
10006 161 986
10007 693 395
10008 710 234
10009 99 522
10010 652 780
10011 485 102
10012 590 927
10013 408 596
10014 223 294
10015 363 71
10016 992 903
10017 193 637
10018 882 571
10019 543 26
10020 76 409
10021 830 32
10022 17 668
10023 857 440
10024 346 853
10025 940 182
10026 744 48
10027 367 332
10028 640 487
10029 806 175
10030 19 210
10031 130 296
10032 982 840
10033 206 252
10034 927 252
10035 395 629
10036 558 598
10037 609 428
10038 894 564
10039 779 31
10040 128 5
1 585 33
2 439 494
3 591 15
4 211 473
5 832 503
6 843 284
7 669 830
8 164 35
9 533 501
10 335 77
11 255 975
12 975 763
13 369 45
14 430 880
15 142 617
16 363 390
17 431 290
18 846 691
19 268 467
20 178 702
21 310 677
22 371 136
23 467 786
24 880 245
25 992 450
26 628 384
27 45 596
28 4 241
29 137 199
30 963 931
31 310 549
32 374 790
33 919 245
34 321 682
35 562 461
36 446 481
37 66 668
38 598 332
39 864 513
40 160 862
41 229 993
42 422 244
43 37 32
44 508 308
45 837 621
46 673 73
47 546 946
48 875 82
49 153 393
50 580 968
51 383 934
52 615 153
53 115 986
54 794 791
55 98 452
56 170 826
57 195 970
58 357 443
59 993 424
60 456 251
61 697 281
62 146 632
63 534 182
64 885 122
65 273 466
66 309 168
67 676 664
68 965 840
69 178 796
70 180 491
71 791 355
72 335 445
73 229 5
74 557 729
75 44 339
76 918 327
77 248 81
78 268 458
79 414 596
80 162 399
81 942 890
82 507 689
83 914 247
84 753 537
85 932 278
86 532 494
87 616 511
88 64 170
89 501 690
90 472 919
91 410 139
92 430 554
93 598 357
94 551 397
95 501 718
96 169 572
97 451 101
98 991 997
99 425 848
100 36 892
101 2 449
102 548 66
103 51 358
104 94 155
105 111 622
106 464 853
107 818 496
108 142 469
109 882 446
110 793 513
111 944 457
112 351 743
113 265 919
114 807 714
115 469 433
116 336 665
117 532 931
118 535 157
119 757 243
120 330 633
121 33 703
122 200 658
123 926 602
124 589 849
125 643 490
126 25 826
127 119 985
128 303 445
129 871 879
130 252 735
131 296 910
132 91 47
133 611 935
134 563 785
135 985 108
136 836 292
137 166 686
138 488 144
139 369 609
140 410 941
141 805 196
142 358 186
143 81 605
144 199 436
145 212 98
146 700 315
147 908 985
148 474 883
149 761 769
150 711 847
151 534 739
152 433 458
153 680 761
154 568 213
155 272 611
156 373 118
157 642 801
158 642 7
159 214 434
160 624 418
161 895 391
162 892 831
163 667 204
164 71 790
165 433 816
166 91 843
167 56 356
168 260 368
169 467 434
170 777 198
171 643 767
172 289 477
173 711 301
174 518 511
175 519 929
176 269 414
177 452 654
178 349 357
179 743 283
180 494 927
181 457 873
182 488 601
183 491 85
184 706 552
185 737 375
186 820 739
187 414 932
188 812 172
189 987 617
190 425 737
191 577 67
192 609 867
193 751 856
194 313 16
195 605 335
196 667 329
197 75 758
198 406 624
199 382 289
200 620 190
201 246 172
202 315 97
203 569 809
204 836 958
205 54 225
206 583 762
207 75 973
208 431 196
209 583 585
210 449 936
211 998 823
212 890 607
213 16 401
214 206 347
215 868 909
216 588 195
217 535 955
218 829 577
219 782 789
220 977 855
221 334 891
222 48 673
223 708 592
224 51 37
225 578 374
226 880 957
227 406 332
228 615 653
229 175 791
230 161 120
231 620 808
232 885 353
233 168 31
234 740 943
235 549 523
236 824 357
237 90 406
238 449 591
239 902 356
240 61 149
241 946 886
242 455 723
243 482 624
244 462 739
245 452 618
246 179 362
247 843 433
248 842 844
249 351 978
250 572 525
251 469 397
252 199 99
253 443 656
254 156 42
255 954 880
256 191 655
257 649 194
258 583 439
259 998 931
260 812 922
261 368 572
262 385 983
263 51 619
264 53 169
265 318 979
266 972 228
267 50 593
268 180 102
269 651 578
270 369 856
271 190 309
272 970 870
273 43 405
274 612 781
275 439 79
276 353 777
277 199 503
278 166 172
279 415 828
280 770 986
281 479 963
282 795 336
283 899 38
284 177 853
285 900 180
286 595 723
287 430 156
288 525 657
289 911 713
290 401 992
291 96 406
292 982 832
293 121 240
294 109 432
295 739 654
296 318 740
297 296 546
298 665 869
299 912 101
300 353 853
